attitude,planning,parents,goodval,getto,age,educ,income,cnty
6,6,4,4,6,7,5,5,Other
4,7,7,7,1,12,2,1,Other
5,7,4,4,1,5,3,3,Other
7,6,7,4,7,3,7,10,Chicago
6,7,2,2,3,4,3,5,Other
4,2,7,1,4,12,3,2,Cook
4,4,4,4,4,1,2,6,DuPage
3,7,4,4,3,4,8,12,Cook
6,7,4,2,5,4,5,3,Other
6,6,7,4,7,3,6,2,Chicago
7,7,7,2,2,10,8,5,Other
6,7,1,4,1,8,3,4,Other
7,4,4,2,6,11,5,2,DuPage
7,7,7,2,5,5,3,4,Cook
1,1,1,1,7,NA,NA,1,Chicago
6,7,7,1,4,8,5,2,Cook
5,6,6,5,5,5,5,3,DuPage
4,4,4,4,4,5,4,5,Other
7,7,5,3,3,10,8,9,Other
7,5,5,7,6,6,6,7,Cook
1,1,1,1,7,2,2,3,Other
4,4,4,4,4,4,5,3,DuPage
6,6,4,2,3,11,6,5,Cook
4,2,2,1,2,2,5,8,Lake
4,4,4,4,4,10,4,3,Other
6,6,4,6,3,10,3,3,Cook
5,5,6,4,4,5,7,11,Lake
6,7,4,2,3,4,6,6,Cook
3,7,3,2,2,7,5,5,Cook
6,6,6,2,6,11,3,1,Cook
6,7,5,4,3,12,7,11,Cook
6,7,5,1,1,5,6,4,DuPage
6,7,7,1,2,4,5,4,Other
5,4,5,3,5,9,6,9,Cook
7,7,7,7,7,10,6,12,DuPage
6,7,6,6,7,4,8,5,Cook
4,4,4,1,4,8,3,4,Other
7,7,7,6,4,12,6,1,Cook
5,7,2,2,7,5,8,7,Cook
6,7,7,6,6,10,5,5,Other
5,5,4,3,4,12,2,2,Other
7,7,7,2,2,5,6,4,DuPage
6,4,6,4,2,6,5,2,Chicago
7,5,7,1,6,6,5,5,DuPage
7,6,4,6,4,5,6,3,Cook
6,5,6,3,3,1,5,4,DuPage
6,7,6,2,3,6,5,6,Other
5,7,4,1,1,6,5,5,Other
7,7,1,6,6,5,6,6,Cook
4,1,1,1,1,4,3,4,Other
7,6,7,2,6,10,4,1,Other
4,7,1,6,1,3,3,5,Cook
5,5,6,5,5,5,5,5,Cook
5,6,4,3,3,5,6,8,Cook
5,5,4,6,5,11,8,4,Other
4,3,4,3,4,8,8,2,Other
3,4,4,4,4,3,3,4,Other
4,4,4,4,4,3,3,2,Other
5,5,4,5,2,3,8,2,Cook
4,6,6,3,2,12,3,2,Cook
6,7,6,3,2,5,7,8,Other
6,2,5,4,3,5,8,10,Cook
7,7,7,4,4,5,3,4,Other
6,7,7,5,7,4,2,4,DuPage
5,6,4,4,4,12,5,4,Other
5,5,4,4,4,6,8,5,Cook
4,4,4,4,4,5,4,5,Other
5,6,7,6,6,7,7,2,Cook
4,4,4,4,4,9,3,4,Cook
6,7,4,2,3,3,5,6,DuPage
6,6,4,2,2,10,8,8,Other
5,2,6,4,4,11,3,2,Other
7,2,4,3,6,9,5,4,Cook
7,7,4,1,1,6,3,1,Other
4,7,4,4,4,9,5,6,Other
5,6,3,2,4,6,5,2,Cook
4,5,2,4,6,10,6,8,DuPage
5,6,4,5,4,1,5,10,Cook
6,6,4,3,2,6,7,8,Cook
5,6,6,2,3,12,5,3,Cook
6,7,1,4,4,6,7,10,Cook
6,1,4,7,4,12,NA,1,Cook
4,4,4,4,4,2,3,2,DuPage
7,7,7,1,3,12,3,2,Cook
4,4,4,4,1,3,3,3,Other
6,6,4,1,1,7,8,6,DuPage
5,6,5,1,1,11,6,1,Cook
5,6,4,3,2,6,6,12,Cook
5,3,4,3,4,10,5,2,Cook
2,4,6,4,4,2,4,7,Other
6,3,7,3,2,3,5,6,Cook
4,7,4,1,4,6,5,2,DuPage
4,6,4,4,4,3,8,3,Cook
6,3,4,6,6,12,7,12,DuPage
4,4,4,4,4,4,6,4,Cook
6,6,2,3,3,8,5,6,Other
5,7,4,3,5,8,1,3,Cook
5,1,6,4,7,7,8,6,Other
7,7,4,2,2,3,3,5,Other
4,6,6,4,5,4,6,1,Other
