id,subscription,year,defect
365,high,2,0
365,high,3,0
365,high,4,1
366,high,1,0
366,high,2,0
366,high,3,0
366,high,4,1
367,high,1,0
367,high,2,0
367,high,3,0
367,high,4,1
368,high,1,0
368,high,2,0
368,high,3,0
368,high,4,1
369,high,1,0
369,high,2,0
369,high,3,0
369,high,4,1
370,high,1,0
370,high,2,0
370,high,3,0
370,high,4,1
371,high,1,0
371,high,2,0
371,high,3,0
371,high,4,1
372,high,1,0
372,high,2,0
372,high,3,0
372,high,4,1
373,high,1,0
373,high,2,0
373,high,3,0
373,high,4,1
374,high,1,0
374,high,2,0
374,high,3,0
374,high,4,1
375,high,1,0
375,high,2,0
375,high,3,0
375,high,4,1
376,high,1,0
376,high,2,0
376,high,3,0
376,high,4,1
377,high,1,0
377,high,2,0
377,high,3,0
377,high,4,1
378,high,1,0
378,high,2,0
378,high,3,0
378,high,4,1
379,high,1,0
379,high,2,0
379,high,3,0
379,high,4,1
380,high,1,0
380,high,2,0
380,high,3,0
380,high,4,1
381,high,1,0
381,high,2,0
381,high,3,0
381,high,4,1
382,high,1,0
382,high,2,0
382,high,3,0
382,high,4,1
383,high,1,0
383,high,2,0
383,high,3,0
383,high,4,1
384,high,1,0
384,high,2,0
384,high,3,0
384,high,4,1
385,high,1,0
385,high,2,0
385,high,3,0
385,high,4,1
386,high,1,0
386,high,2,0
386,high,3,0
386,high,4,1
387,high,1,0
387,high,2,0
387,high,3,0
387,high,4,1
388,high,1,0
388,high,2,0
388,high,3,0
388,high,4,1
389,high,1,0
389,high,2,0
389,high,3,0
389,high,4,1
390,high,1,0
390,high,2,0
390,high,3,0
390,high,4,1
391,high,1,0
391,high,2,0
391,high,3,0
391,high,4,1
392,high,1,0
392,high,2,0
392,high,3,0
392,high,4,1
393,high,1,0
393,high,2,0
393,high,3,0
393,high,4,1
394,high,1,0
394,high,2,0
394,high,3,0
394,high,4,1
395,high,1,0
395,high,2,0
395,high,3,0
395,high,4,1
396,high,1,0
396,high,2,0
396,high,3,0
396,high,4,1
397,high,1,0
397,high,2,0
397,high,3,0
397,high,4,1
398,high,1,0
398,high,2,0
398,high,3,0
398,high,4,1
399,high,1,0
399,high,2,0
399,high,3,0
399,high,4,1
400,high,1,0
400,high,2,0
400,high,3,0
400,high,4,1
401,high,1,0
401,high,2,0
401,high,3,0
401,high,4,1
402,high,1,0
402,high,2,0
402,high,3,0
402,high,4,1
403,high,1,0
403,high,2,0
403,high,3,0
403,high,4,1
404,high,1,0
404,high,2,0
404,high,3,0
404,high,4,1
405,high,1,0
405,high,2,0
405,high,3,0
405,high,4,1
406,high,1,0
406,high,2,0
406,high,3,0
406,high,4,1
407,high,1,0
407,high,2,0
407,high,3,0
407,high,4,1
408,high,1,0
408,high,2,0
408,high,3,0
408,high,4,0
408,high,5,1
409,high,1,0
409,high,2,0
409,high,3,0
409,high,4,0
409,high,5,1
410,high,1,0
410,high,2,0
410,high,3,0
410,high,4,0
410,high,5,1
411,high,1,0
411,high,2,0
411,high,3,0
411,high,4,0
411,high,5,1
412,high,1,0
412,high,2,0
412,high,3,0
412,high,4,0
412,high,5,1
413,high,1,0
413,high,2,0
413,high,3,0
413,high,4,0
413,high,5,1
414,high,1,0
414,high,2,0
414,high,3,0
414,high,4,0
414,high,5,1
415,high,1,0
415,high,2,0
415,high,3,0
415,high,4,0
415,high,5,1
416,high,1,0
416,high,2,0
416,high,3,0
416,high,4,0
416,high,5,1
417,high,1,0
417,high,2,0
417,high,3,0
417,high,4,0
417,high,5,1
418,high,1,0
418,high,2,0
418,high,3,0
418,high,4,0
418,high,5,1
419,high,1,0
419,high,2,0
